"blkType","DistCond","distr_cond","participant","rt_type","rt"
"Before change","Rare dist.","equal","E2_04_ER","ftf_RT",589.058021751392
"Before change","Rare dist.","equal","E2_05_YS","ftf_RT",867.996981804977
"Before change","Rare dist.","equal","E2_06_ER","ftf_RT",1054.85625757991
"Before change","Rare dist.","equal","E2_07_NS","ftf_RT",661.103838743897
"Before change","Rare dist.","equal","E2_08_YW","ftf_RT",796.919395526061
"Before change","Rare dist.","equal","E2_09_WYY","ftf_RT",687.025881495644
"Before change","Rare dist.","equal","E2_10_SSW","ftf_RT",519.793410845908
"Before change","Rare dist.","equal","E2_11_FS","ftf_RT",744.166557632161
"Before change","Rare dist.","equal","E2_12_AH","ftf_RT",674.737278288584
"Before change","Rare dist.","equal","E2_13_HAB","ftf_RT",831.017954058356
"Before change","Rare dist.","equal","E2_14_RS","ftf_RT",877.208314584674
"Before change","Rare dist.","equal","E2_15_LL","ftf_RT",559.622223265886
"Before change","Rare dist.","equal","E2_16_BK","ftf_RT",418.77616336933
"Before change","Rare dist.","equal","E2_17_HS","ftf_RT",632.004443398598
"Before change","Rare dist.","equal","E2_18_PP","ftf_RT",624.06984714342
"Before change","Rare dist.","equal","E2_19_JX","ftf_RT",515.518841124066
"Before change","Rare dist.","equal","E2_20_JW","ftf_RT",802.946481436265
"Before change","Rare dist.","equal","E2_21_SM","ftf_RT",661.767765930739
"Before change","Rare dist.","equal","E2_22_GV","ftf_RT",818.764860582734
